ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
mauritiancreole,,331,mcr,mfe,{},-20.3333333333,57.5,Africa,,Mauritian Creole,989,False,False
soqotri,,10,soq,sqt,{},12.5,54.0,Africa,,Soqotri,1423,False,False
malagasy,,73,mal,plt,{},-20.0,47.0,Africa,,Malagasy,2529,True,True
somali,,545,som,som,{},3.0,45.0,Africa,,Somali,2364,False,False
comorian,,274,com,swb,{},-12.0,44.0,Africa,,Comorian,308,False,False
harari,,10,hrr,har,{},9.25,42.1666666667,Africa,,Harari,99,False,False
qafar,,545,qaf,aar,{},12.0,42.0,Africa,,Qafar,1814,False,False
oromoharar,,545,orh,hae,{},9.0,42.0,Africa,,Oromo (Harar),2513,True,True
dahalo,,546,dah,dal,{},-2.33333333333,40.5,Africa,,Dahalo,1447,False,False
makonde,,274,mkd,kde,{},-11.0,40.0,Africa,,Makonde,1040,False,False
oromowaata,,545,orw,ssn,{},-3.33333333333,39.8333333333,Africa,,Oromo (Waata),1661,False,False
saho,,545,sao,ssy,{},14.75,39.75,Africa,,Saho,591,False,False
ekoti,,274,eko,eko,{},-16.5,39.5,Africa,,Ekoti,794,False,False
matuumbi,,274,mtb,mgw,{},-8.5,39.0,Africa,,Matuumbi,1315,False,False
mwera,,274,mwe,mwe,{},-9.0,39.0,Africa,,Mwera,1614,False,False
swahili,,274,swa,swh,{},-6.5,39.0,Africa,,Swahili,2521,True,True
dabida,,274,dbd,dav,{},-4.0,38.6666666667,Africa,,Dabida,670,False,False
makua,,274,mua,"mgh, xsq",{},-15.0,38.6666666667,Africa,,Makua,1255,False,False
oromoboraana,,545,orb,gax,{},4.5,38.5,Africa,,Oromo (Boraana),734,False,False
soddo,,10,sod,gru,{},8.5,38.5,Africa,,Soddo,1276,False,False
tigrinya,,10,tig,tir,{},14.5,38.5,Africa,,Tigrinya,1488,False,False
bilin,,7,bln,byn,{},15.75,38.5,Africa,,Bilin,1922,False,False
tigre,,10,tgr,tig,{},16.5,38.5,Africa,,Tigré,2291,False,False
sidaama,,544,sid,sid,{},6.66666666667,38.5,Africa,,Sidaama,2603,False,False
shambala,,274,shm,ksb,{},-4.25,38.25,Africa,,Shambala,1274,False,False
muher,,10,muh,sgw,{},8.16666666667,38.1666666667,Africa,,Muher,178,False,False
mbugu,,1,mbg,mhd,{},-4.33333333333,38.1666666667,Africa,,Mbugu,719,False,False
kenyansignlanguage,,330,ksl,xki,{},0.0,38.0,Africa,,Kenyan Sign Language,133,False,False
tigrebeniamer,,10,tbe,tig,{},15.5,38.0,Africa,,Tigré (Beni Amer),467,False,False
kami,,274,kmi,kcu,{},-6.75,38.0,Africa,,Kami,695,False,False
kamba,,274,kba,kam,{},-1.5,38.0,Africa,,Kamba,1398,False,False
amharic,,10,amh,amh,{},10.0,38.0,Africa,,Amharic,2387,False,False
chaha,,10,chh,sgw,{},8.112935,37.93267,Africa,,Chaha,1863,False,False
koorete,,13,kjr,kqy,{},5.83333333333,37.8333333333,Africa,,Koorete,140,False,False
burji,,545,brj,bji,{},5.5,37.8333333333,Africa,,Burji,661,False,False
bayso,,545,bys,bsw,{},6.25,37.75,Africa,,Bayso,512,False,False
wolaytta,,13,wly,wal,{},6.83333333333,37.75,Africa,,Wolaytta,1856,False,False
narainethiopia,,314,nar,nrb,{},15.0833333333,37.5833333333,Africa,,Nara (in Ethiopia),2178,False,False
rendille,,545,ren,rel,{},2.0,37.5,Africa,,Rendille,1048,False,False
kemant,,7,kem,ahg,{},12.6666666667,37.4166666667,Africa,,Kemant,1760,False,False
yemsa,,13,yms,jnj,{},7.83333333333,37.3333333333,Africa,,Yemsa,489,False,False
zayse,,13,zay,zay,{},5.91666666667,37.3333333333,Africa,,Zayse,1745,False,False
dullaygollango,,545,dug,gwd,{},5.5,37.25,Africa,,Dullay (Gollango),673,False,False
gamo,,13,gam,gmo,{},6.66666666667,37.25,Africa,,Gamo,1545,False,False
kullo,,13,kul,gmo,{},6.75,37.0833333333,Africa,,Kullo,1360,False,False
oromowestcentral,,545,owc,gaz,{},9.0,37.0,Africa,,Oromo (West-Central),827,False,False
chaga,,274,cga,old,{},-3.0,37.0,Africa,,Chaga,974,False,False
kagulu,,274,kgr,kki,{},-6.33333333333,37.0,Africa,,Kagulu,1309,False,False
meen,,322,mee,mym,{},5.0,37.0,Africa,,Me'en,1766,False,False
kunama,,317,knm,kun,{},14.5,37.0,Africa,,Kunama,2415,False,True
maale,,13,mle,mdy,{},6.0,36.9166666667,Africa,,Maale,1405,False,False
arbore,,545,abo,arv,{},5.0,36.75,Africa,,Arbore,1211,False,False
kikuyu,,274,kik,kik,{},-0.75,36.75,Africa,,Kikuyu,1898,False,False
awngi,,7,awn,awn,{},10.8333333333,36.6666666667,Africa,,Awngi,1633,False,False
aari,,9,aar,aiw,{},6.0,36.5833333333,Africa,,Aari,1668,False,False
gorowa,,1,gor,gow,{},-4.5,36.5,Africa,,Gorowa,680,False,False
pogoro,,274,pog,poy,{},-8.75,36.5,Africa,,Pogoro,897,False,False
pare,,274,pre,asa,{},-4.0,36.5,Africa,,Pare,1567,False,False
hamer,,9,hmr,amf,{},5.0,36.5,Africa,,Hamer,1799,False,False
dizi,,538,diz,mdx,{},6.16666666667,36.5,Africa,,Dizi,2075,False,False
dhaasanac,,545,dha,dsh,{},4.66666666667,36.3333333333,Africa,,Dhaasanac,1502,False,False
kefa,,9,kef,kbr,{},7.25,36.25,Africa,,Kefa,1310,False,False
dime,,9,dim,dim,{},6.16666666667,36.25,Africa,,Dime,1543,False,False
shinassha,,13,ssh,bwo,{},10.4166666667,36.1666666667,Africa,,Shinassha,749,False,False
mursi,,322,mur,muz,{},5.58333333333,36.0833333333,Africa,,Mursi,1470,False,False
koegu,,322,koe,xwg,{},7.0,36.0833333333,Africa,,Koegu,1688,False,False
hehe,,274,heh,heh,{},-8.0,36.0,Africa,,Hehe,1116,False,False
langi,,274,lgi,lag,{},-4.5,36.0,Africa,,Langi,1182,False,False
ngoni,,274,ngo,ngo,{},-11.0,36.0,Africa,,Ngoni,1698,False,False
burunge,,1,brn,bds,{},-5.33333333333,36.0,Africa,,Burunge,2038,False,False
maasai,,320,maa,mas,{},-3.0,36.0,Africa,,Maasai,2315,False,False
beja,,3,bej,bej,{},18.0,36.0,Africa,,Beja,2401,False,True
gumuz,,321,gmz,guk,{},12.5,35.8333333333,Africa,,Gumuz,1867,False,False
alagwa,,1,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,969,False,False
gimira,,13,gim,bcq,{},7.0,35.75,Africa,,Gimira,1930,False,False
moca,,13,moc,moy,{},7.58333333333,35.5,Africa,,Moca,404,False,False
yaoinmalawi,,274,yao,yao,{},-14.5,35.5,Africa,,Yao (in Malawi),1056,False,False
pokot,,320,pkt,pko,{},1.5,35.5,Africa,,Pokot,1734,False,False
turkana,,320,tna,tuv,{},3.0,35.5,Africa,,Turkana,2281,False,False
iraqw,,1,irq,irk,{},-4.0,35.5,Africa,,Iraqw,2453,False,True
