ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
bandjalangcasino,,557,bca,bdy,{},-28.9166666667,153.0,Australia,,Bandjalang (Casino),281,False,False
yaygir,,557,yyg,,{},-29.6666666667,153.0,Australia,,Yaygir,906,False,False
bandjalangyugumbir,,557,byu,bdy,{},-27.9166666667,153.0,Australia,,Bandjalang (Yugumbir),1344,False,False
bandjalang,,557,bnj,bdy,{},-28.75,153.0,Australia,,Bandjalang,1861,False,False
bandjalangwaalubal,,557,bwa,bdy,{},-29.0833333333,152.583333333,Australia,,Bandjalang (Waalubal),859,False,False
gumbaynggir,,557,gum,kgs,{},-30.1666666667,152.5,Australia,,Gumbaynggir,2110,False,False
wagawaga,,557,wkw,wkw,{},-26.5,152.5,Australia,,Wagawaga,2570,False,False
gidabal,,557,gid,bdy,{},-28.4166666667,152.416666667,Australia,,Gidabal,1638,False,False
gurenggureng,,557,ggu,gnr,{},-25.25,151.0,Australia,,Gureng Gureng,1455,False,False
dharawal,,557,dhw,tbh,{},-34.5,150.5,Australia,,Dharawal,1028,False,False
dharumbal,,560,dhb,bjy,{},-22.75,150.5,Australia,,Dharumbal,1029,False,False
dhurga,,557,dhu,dhu,{},-35.6666666667,150.0,Australia,,Dhurga,671,False,False
gamilaraay,,557,gml,kld,{},-29.8333333333,149.5,Australia,,Gamilaraay,67,False,False
yuwaalaraay,,557,yuw,kld,{},-29.5,148.0,Australia,,Yuwaalaraay,2014,False,False
muruwari,,557,mrw,zmu,{},-28.75,147.0,Australia,,Muruwari,1729,False,False
gunya,,560,gny,gyy,{},-26.5,146.5,Australia,,Gunya,537,False,False
biri,,560,bii,bzr,{},-20.5,146.5,Australia,,Biri,1749,False,False
nyawaygi,,560,nya,nyt,{},-19.0,146.166666667,Australia,,Nyawaygi,1367,False,False
warrgamay,,560,wrg,wgy,{},-18.5833333333,146.083333333,Australia,,Warrgamay,1971,False,False
yortayorta,,557,yyo,,{},-36.0,146.0,Australia,,Yorta Yorta,491,False,False
yidiny,,560,yid,yii,{},-17.0,145.75,Australia,,Yidiny,2434,False,True
djabugay,,560,dja,dyy,{},-16.75,145.583333333,Australia,,Djabugay,1450,False,False
dyirbal,,560,dyi,dbl,{},-17.8333333333,145.583333333,Australia,,Dyirbal,2349,False,False
woiwurrung,,557,wwr,,{},-37.5,145.5,Australia,,Woiwurrung,770,False,False
ngiyambaa,,557,ngi,wyb,{},-31.75,145.5,Australia,,Ngiyambaa,2495,True,True
auslan,,330,aus,asf,{},-30.0,145.0,Australia,,Auslan,278,False,False
warrungu,,560,wgu,wrg,{},-18.0,145.0,Australia,,Warrongo,484,False,False
mbabaram,,560,mbb,,{},-17.1666666667,145.0,Australia,,Mbabaram,1611,False,False
kukuyalanji,,560,kya,gvn,{},-16.0,145.0,Australia,,Kuku-Yalanji,2164,False,False
guuguyimidhirr,,560,guu,kky,{},-15.0,144.833333333,Australia,,Guugu Yimidhirr,2237,False,False
lamulamu,,560,lla,lby,{},-14.8333333333,144.5,Australia,,Lamu-Lamu,553,False,False
margany,,560,mny,zmc,{},-27.0,144.5,Australia,,Margany,1839,False,False
wathawurrung,,557,wth,,{},-38.0,144.0,Australia,,Wathawurrung,1334,False,False
colac,,557,clc,,{},-38.3333333333,143.5,Australia,,Colac,306,False,False
umpila,,560,ump,ump,{},-13.5,143.5,Australia,,Umpila,2569,False,False
thaypan,,560,thp,typ,{},-14.8333333333,143.166666667,Australia,,Thaypan,610,False,False
kuukuyau,,560,kuu,kuy,{},-12.5833333333,143.083333333,Australia,,Kuuku Ya'u,1402,False,False
broken,,331,bro,tcs,{},-10.1666666667,143.0,Australia,,Broken,918,False,False
wangkumara,,558,wan,nbx,{},-27.3333333333,143.0,Australia,,Wangkumara,1433,False,False
linngithig,,560,lnj,lnj,{},-12.5,142.83,Australia,,Linngithig,2565,False,False
kunjen,,560,kjn,kjn,{},-16.5,142.5,Australia,,Kunjen,811,False,False
warrnambool,,557,wrb,,{},-38.25,142.5,Australia,,Warrnambool,1055,False,False
paakantyi,,558,pkn,drl,{},-32.5,142.5,Australia,,Paakantyi,1910,False,False
pakanha,,560,pak,pkn,{},-14.5,142.416666667,Australia,,Pakanha,198,False,False
uradhi,,560,uhi,urf,{},-11.9166666667,142.416666667,Australia,,Uradhi,2213,False,False
kugunganhcara,,560,knc,uwa,{},-14.4166666667,142.0,Australia,,Kugu Nganhcara,1934,False,False
yiryiront,,560,yir,yiy,{},-14.8333333333,141.833333333,Australia,,Yir Yiront,1152,False,False
kuukthaayorre,,560,thy,thd,{},-14.5833333333,141.833333333,Australia,,Kuuk Thaayorre,1533,False,False
anguthimri,,560,agt,lnj,{},-12.3333333333,141.833333333,Australia,,Anguthimri,1670,False,False
wikmunkan,,560,wmu,wim,{},-13.9166666667,141.75,Australia,,Wik Munkan,1972,False,False
wikngathana,,560,wn,wig,{},-13.9166666667,141.5,Australia,,Wik Ngathana,964,False,False
ngawun,,560,ngw,nxn,{},-19.0,141.5,Australia,,Ngawun,1320,False,False
mayiyapi,,560,myy,,{},-20.0,141.0,Australia,,Mayi-Yapi,718,False,False
innamincka,,558,inn,ynd,{},-27.75,140.75,Australia,,Innamincka,2658,False,False
gugadj,,560,ggd,ggd,{},-18.5,140.5,Australia,,Gugadj,2561,False,False
ngarinyeri,,557,ngr,nay,{},-36.0,140.0,Australia,,Ngarinyeri,821,False,False
pittapitta,,558,ppi,pit,{},-22.8333333333,140.0,Australia,,Pitta Pitta,2082,False,False
yalarnnga,,560,ylr,ylr,{},-22.0,140.0,Australia,,Yalarnnga,2574,False,False
adynyamathanha,,558,adn,adt,{},-30.5,139.5,Australia,,Adynyamathanha,1340,False,False
kalkatungu,,560,kgu,ktg,{},-21.0,139.5,Australia,,Kalkatungu,2175,False,False
kayardild,,52,kay,gyd,{},-17.05,139.5,Australia,,Kayardild,2501,True,True
lardil,,52,lrd,lbz,{},-16.5,139.333333333,Australia,,Lardil,370,False,False
diyari,,558,diy,dif,{},-28.0,139.0,Australia,,Diyari,2328,False,False
yukulta,,52,yuk,gcd,{},-17.3333333333,138.833333333,Australia,,Yukulta,2162,False,False
kaurna,,558,kaq,,{},-34.25,138.5,Australia,,Kaurna,355,False,False
warluwara,,559,wlw,wrb,{},-22.0,138.5,Australia,,Warluwara,763,False,False
bularnu,,559,bnu,,{},-21.0,138.0,Australia,,Bularnu,1162,False,False
yanyuwa,,559,yny,jao,{},-16.4166666667,137.166666667,Australia,,Yanyuwa,1857,False,False
garrwa,,47,grr,gbc,{},-17.0833333333,137.166666667,Australia,,Garrwa,2174,False,False
banggarla,,558,bnl,bjb,{},-32.0,137.0,Australia,,Banggarla,511,False,False
wangkangurru,,558,wgg,wgg,{},-27.0,137.0,Australia,,Wangkangurru,2571,False,False
gaalpu,,559,glp,dhg,{},-12.6666666667,136.75,Australia,,Gaalpu,678,False,False
anindilyakwa,,41,ann,aoi,{},-14.0,136.5,Australia,,Anindilyakwa,1341,False,False
dhuwaldatiwuy,,559,dda,duj,{},-12.1666666667,136.25,Australia,,Dhuwal (Dätiwuy),51,False,False
arabana,,558,abn,ard,{},-28.25,136.25,Australia,,Arabana,1860,False,False
djapu,,559,djp,duj,{},-12.6666666667,136.0,Australia,,Djapu,2248,False,False
arrerntemparntwe,,558,amp,aer,{},-24.0,136.0,Australia,,Arrernte (Mparntwe),2326,False,False
gupapuyngu,,559,guf,guf,{},-12.0,136.0,Australia,,Gupapuyngu,2562,False,False
wambaya,,561,wam,wmb,{},-18.6666666667,135.75,Australia,,Wambaya,2373,False,True
nunggubuyu,,48,nug,nuy,{},-13.75,135.666666667,Australia,,Nunggubuyu,2452,False,True
warndarang,,554,wrn,wnd,{},-14.4166666667,135.583333333,Australia,,Warndarang,1743,False,False
