ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
kerek,,139,krq,krk,{},62.25,175.0,Eurasia,,Kerek,805,False,False
koryak,,139,kry,kpy,{},61.0,167.0,Eurasia,,Koryak,2062,False,False
alutor,,139,alu,alr,{},61.0,165.0,Eurasia,,Alutor,499,False,False
itelmen,,140,ite,itl,{},57.0,157.5,Eurasia,,Itelmen,2218,False,False
yukaghirtundra,,505,ytu,ykg,{},69.0,155.0,Eurasia,,Yukaghir (Tundra),2053,False,False
yukaghirkolyma,,505,yko,yux,{},65.75,150.833333333,Eurasia,,Yukaghir (Kolyma),2504,False,True
orok,,21,ork,oaa,{},49.5,143.5,Eurasia,,Orok,1616,False,False
ainu,,14,ain,ain,{},43.0,143.0,Eurasia,,Ainu,2486,False,True
nivkhsouthsakhalin,,324,nvs,niv,{},47.0,142.5,Eurasia,,Nivkh (South Sakhalin),890,False,False
nivkh,,324,niv,niv,{},53.3333333333,142.0,Eurasia,,Nivkh,2471,False,True
ulcha,,21,ulc,ulc,{},52.25,140.333333333,Eurasia,,Ulcha,240,False,False
japanese,,195,jpn,jpn,{},37.0,140.0,Eurasia,,Japanese,2542,True,True
negidal,,21,neg,neg,{},53.0,139.0,Eurasia,,Negidal,417,False,False
nihonshuwajapanesesignlanguage,,330,nih,jsl,{},36.0,139.0,Eurasia,,Nihon Shuwa (Japanese Sign Language),420,False,False
oroch,,21,orc,oac,{},50.3333333333,137.5,Eurasia,,Oroch,826,False,False
nanai,,21,nai,gld,{},49.5,137.0,Eurasia,,Nanai,1844,False,False
udihe,,21,udh,ude,{},47.6666666667,136.25,Eurasia,,Udihe,2184,False,False
jurchen,,21,jur,juc,{},47.0,130.0,Eurasia,,Jurchen,985,False,False
even,,21,evn,eve,{},68.0,130.0,Eurasia,,Even,2204,False,False
yakut,,19,ykt,sah,{},62.0,130.0,Eurasia,,Yakut,2287,False,False
southkoreansignlanguage,,330,ssl,kvk,{},37.0,128.0,Eurasia,,South Korean Sign Language,452,False,False
korean,,218,kor,kor,{},37.5,128.0,Eurasia,,Korean,2536,True,True
manchu,,21,mnc,mnc,{},49.5,127.5,Eurasia,,Manchu,2127,False,False
shuri,,195,ryu,ryu,{},26.5,127.5,Eurasia,,Shuri,2605,False,False
evenki,,21,eve,evn,{},56.0,125.0,Eurasia,,Evenki,2535,False,True
kirghizfuyu,,19,kfy,kir,{},47.75,124.416666667,Eurasia,,Kirghiz (Fu-Yu),136,False,False
dagur,,20,dgr,dta,{},48.0,124.0,Eurasia,,Dagur,2260,False,False
taiwanese,,375,taq,nan,{},25.0,121.5,Eurasia,,Taiwanese,223,False,False
solon,,21,sol,evn,{},48.0,120.0,Eurasia,,Solon,601,False,False
wuchangzhou,,375,wuc,wuu,{},31.6666666667,119.916666667,Eurasia,,Wu (Changzhou),1209,False,False
fuzhou,,375,fuz,cdo,{},26.0,119.5,Eurasia,,Fuzhou,1231,False,False
xiamen,,375,xia,nan,{},24.5,118.166666667,Eurasia,,Xiamen,1287,False,False
hokkien,,375,hok,nan,{},25.0,118.0,Eurasia,,Hokkien,685,False,False
chaozhou,,375,chz,nan,{},23.6666666667,116.666666667,Eurasia,,Chaozhou,41,False,False
hakka,,375,hak,hak,{},25.0,116.0,Eurasia,,Hakka,1832,False,False
chinesesignlanguage,,330,csl,csl,{},35.0,115.0,Eurasia,,Chinese Sign Language,305,False,False
