ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
beothuk,,108,beo,bue,{},48.0,-57.0,North America,,Beothuk,286,False,False
martiniquecreole,,331,mqc,gcf,{},14.6666666667,-61.0,North America,,Martinique Creole,168,False,False
lesserantilleanfrenchcreole,,331,lcr,"acf, gcf",{},15.0,-61.1666666667,North America,,Lesser Antillean French Creole,375,False,False
guadeloupecreole,,331,gdl,gcf,{},16.25,-61.5,North America,,Guadeloupe Creole,89,False,False
micmac,,17,mic,mic,{},45.0,-63.0,North America,,Micmac,992,False,False
montagnais,,17,mtg,moe,{},52.0,-65.0,North America,,Montagnais,993,False,False
passamaquoddymaliseet,,17,psm,pqm,{},45.0,-67.0,North America,,Passamaquoddy-Maliseet,2385,False,True
papiamentu,,331,pap,pap,{},12.25,-69.0,North America,,Papiamentu,894,False,False
naskapi,,17,nsk,nsk,{},56.0,-70.0,North America,,Naskapi,413,False,False
massachusett,,17,mtt,wam,{},42.5,-71.0,North America,,Massachusett,1407,False,False
abenakiwestern,,17,abw,abe,{},44.0,-72.25,North America,,Abenaki (Western),267,False,False
haitiancreole,,331,hcr,hat,{},19.0,-72.5,North America,,Haitian Creole,984,False,False
inuktitutquebeclabrador,,158,iql,ike,{},62.0,-73.0,North America,,Inuktitut (Quebec-Labrador),688,False,False
mahican,,17,mhc,mof,{},42.6666666667,-73.5,North America,,Mahican,385,False,False
atikamekw,,17,ati,atj,{},48.0,-74.0,North America,,Atikamekw,277,False,False
mohawk,,192,moh,moh,{},43.5,-74.25,North America,,Mohawk,2065,False,False
munsee,,17,mse,umu,{},41.5,-74.6666666667,North America,,Munsee,995,False,False
languedessignesquebecoise,,330,lsq,fcs,{},48.0,-75.0,North America,,Langue des Signes Québecoise,369,False,False
unami,,17,unm,unm,{},40.0,-75.1666666667,North America,,Unami,761,False,False
oneida,,192,ond,one,{},43.0,-75.6666666667,North America,,Oneida,2441,True,True
inuktitutsalluit,,158,ins,ike,{},62.0,-76.0,North America,,Inuktitut (Salluit),689,False,False
onondaga,,192,onn,ono,{},42.75,-76.1666666667,North America,,Onondaga,425,False,False
nanticoke,,17,nnt,nnt,{},38.0,-76.25,North America,,Nanticoke,183,False,False
powhatan,,17,pow,pim,{},37.3333333333,-76.5,North America,,Powhatan,436,False,False
cayuga,,192,cyg,cay,{},42.75,-76.75,North America,,Cayuga,787,False,False
algonquin,,17,alg,alq,{},46.0,-77.0,North America,,Algonquin,272,False,False
jamaicancreole,,331,jcr,jam,{},18.1666666667,-77.25,North America,,Jamaican Creole,120,False,False
wyandot,,192,wya,wya,{},44.3333333333,-77.5,North America,,Wyandot,1013,False,False
tuscarora,,192,tus,tus,{},36.0,-77.5,North America,,Tuscarora,1916,False,False
seneca,,192,snc,see,{},42.5,-77.5,North America,,Seneca,2209,False,False
