ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
tuvaluan,,87,tvl,tvl,{},-8.5,179.166666667,Papunesia,,Tuvaluan,1967,False,False
fijian,,87,fij,fij,{},-17.8333333333,178.0,Papunesia,,Fijian,2510,True,True
nadroga,,87,ndr,fij,{},-18.0833333333,177.416666667,Papunesia,,Nadroga,2639,False,False
fijianwayan,,87,fiw,wyy,{},-17.0,177.3,Papunesia,,Fijian (Wayan),60,False,False
rotuman,,87,rot,rtm,{},-12.5,177.066666667,Papunesia,,Rotuman,2084,False,False
nanumea,,87,nnm,tvl,{},-5.66666666667,176.116666667,Papunesia,,Nanumea,412,False,False
maori,,87,mao,mri,{},-40.0,176.0,Papunesia,,Maori,2532,False,True
kiribati,,87,krb,gil,{},1.33333333333,173.0,Papunesia,,Kiribati,2363,False,True
newzealandsignlanguage,,330,nzs,nzs,{},-43.0,172.0,Papunesia,,New Zealand Sign Language,418,False,False
marshallese,,87,msh,mah,{},7.11666666667,171.05,Papunesia,,Marshallese,1130,False,False
futunaaniwa,,87,fut,fut,{},-19.5333333333,170.216666667,Papunesia,,Futuna-Aniwa,2093,False,False
anejom,,87,anj,aty,{},-20.2,169.8,Papunesia,,Anejom,2035,False,False
kwamera,,87,kwr,tnk,{},-19.5833333333,169.416666667,Papunesia,,Kwamera,813,False,False
tannasouthwest,,87,tns,nwi,{},-19.5666666667,169.333333333,Papunesia,,Tanna (Southwest),755,False,False
lenakel,,87,len,tnl,{},-19.45,169.25,Papunesia,,Lenakel,2251,False,False
erromangan,,87,err,erg,{},-18.8333333333,169.166666667,Papunesia,,Erromangan,2150,False,False
ura,,87,ura,uur,{},-18.6666666667,169.083333333,Papunesia,,Ura,1665,False,False
nguna,,87,ngu,llp,{},-16.9166666667,168.5,Papunesia,,Nguna,1194,False,False
efatesouth,,87,erk,erk,{},-17.75,168.416666667,Papunesia,,Efate (South),2638,False,False
lewo,,87,lew,lww,{},-16.75,168.333333333,Papunesia,,Lewo,1464,False,False
paamese,,87,pms,pma,{},-16.5,168.25,Papunesia,,Paamese,2404,False,True
ifiramele,,87,mxe,mxe,{},-17.75,168.25,Papunesia,,Ifira-Mele,2640,False,False
southeastambrym,,87,sea,tvk,{},-16.3,168.216666667,Papunesia,,Southeast Ambrym,1007,False,False
raga,,87,rag,lml,{},-15.5,168.166666667,Papunesia,,Raga,205,False,False
lamen,,87,lmu,lmu,{},-16.5833333333,168.166666667,Papunesia,,Lamen,2637,False,False
bislama,,331,bsm,bis,{},-16.0,168.0,Papunesia,,Bislama,289,False,False
