ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
kipea,,202,kri,kzw,{},-10.0,-37.0,South America,,Kipea,1871,False,False
fulnio,,237,ful,fun,{},-8.0,-37.5,South America,,Fulniô,1893,False,False
maxakali,,239,max,mbl,{},-18.0,-40.0,South America,,Maxakalí,1363,False,False
krenak,,240,kqq,kqq,{},-15.5,-41.0,South America,,Krenak,2670,False,False
canela,,238,cnl,ram,{},-7.0,-45.0,South America,,Canela,295,False,False
urubusignlanguage,,330,usl,uks,{},-2.33333333333,-46.0,South America,,Urubú Sign Language,243,False,False
guajajara,,457,gjj,gub,{},-5.0,-46.0,South America,,Guajajara,1797,False,False
canelakraho,,238,ckr,"ram, xra",{},-6.0,-46.0,South America,,Canela-Krahô,2524,True,True
urubukaapor,,457,urk,urb,{},-2.33333333333,-46.5,South America,,Urubú-Kaapor,2426,False,True
linguadesinaisbrasileira,,330,lsb,bzs,{},-15.0,-48.0,South America,,Língua de Sinais Brasileira,376,False,False
kraho,,238,krh,xra,{},-8.0,-48.0,South America,,Krahô,1123,False,False
apinaye,,238,api,apn,{},-5.5,-48.0,South America,,Apinayé,2071,False,False
xerente,,238,xer,xer,{},-10.0,-48.1666666667,South America,,Xerénte,619,False,False
asurini,,457,asu,asu,{},-3.5,-49.5,South America,,Asuriní,857,False,False
xokleng,,238,xok,xok,{},-24.5,-50.0,South America,,Xokleng,1338,False,False
karaja,,243,jva,kpj,{},-10.0,-50.3333333333,South America,,Karajá,1722,False,False
palikur,,533,plk,plu,{},3.0,-51.0,South America,,Palikur,2028,False,False
kayapo,,238,kyp,txu,{},-9.0,-52.0,South America,,Kayapó,1177,False,False
wayampi,,457,way,oym,{},1.0,-52.0,South America,,Wayampi,1855,False,False
kaingang,,238,kng,kgp,{},-26.0,-52.0,South America,,Kaingang,2042,False,False
emerillon,,457,eme,eme,{},3.16666666667,-52.4166666667,South America,,Émérillon,2664,False,False
xavante,,238,xav,xav,{},-15.0,-52.5,South America,,Xavánte,1337,False,False
kamaiura,,457,kma,kay,{},-12.0833333333,-52.5833333333,South America,,Kamaiurá,2024,False,False
guianesefrenchcreole,,331,gfr,gcr,{},5.0,-53.0,South America,,Guianese French Creole,92,False,False
waura,,532,wur,wau,{},-13.0,-53.0,South America,,Waurá,765,False,False
kuikuro,,119,kkq,kui,{},-12.4166666667,-53.0833333333,South America,,Kuikúro,2668,False,False
trumai,,451,tru,tpy,{},-11.9166666667,-53.5833333333,South America,,Trumai,2423,False,True
apalai,,119,apl,apy,{},0.0,-54.0,South America,,Apalaí,2171,False,False
wayana,,119,wyn,way,{},3.25,-54.1666666667,South America,,Wayana,618,False,False
juruna,,457,jrn,jur,{},-5.0,-54.5,South America,,Juruna,122,False,False
ndyuka,,331,ndy,djk,{},4.5,-54.5,South America,,Ndyuka,2678,False,True
kaiwa,,457,kaw,kgk,{},-23.0,-55.0,South America,,Kaiwá,545,False,False
bakairi,,119,bki,bkq,{},-14.0,-55.0,South America,,Bakairí,1214,False,False
panara,,238,pnx,kre,{},-10.0,-55.0,South America,,Panará,2669,False,False
ache,,457,ach,guq,{},-25.25,-55.1666666667,South America,,Aché,1153,False,False
arawak,,550,ara,arw,{},5.5,-55.1666666667,South America,,Arawak,2200,False,False
sranan,,331,sra,srn,{},5.83333333333,-55.3333333333,South America,,Sranan,1008,False,False
saramaccan,,331,srm,srm,{},4.5,-55.5,South America,,Saramaccan,1199,False,False
kayabi,,457,kyz,kyz,{},-11.0,-55.5,South America,,Kayabí,2665,False,False
tiriyo,,119,tir,tri,{},3.25,-55.75,South America,,Tiriyo,1850,False,False
terena,,535,trn,ter,{},-20.0,-56.0,South America,,Terêna,608,False,False
carib,,119,car,car,{},5.5,-56.0,South America,,Carib,2378,False,True
guarani,,457,gua,gug,{},-26.0,-56.0,South America,,Guaraní,2492,True,True
parecis,,532,prc,pab,{},-14.0,-57.0,South America,,Parecis,582,False,False
kadiweu,,542,kdw,kbc,{},-20.0,-57.0,South America,,Kadiwéu,1175,False,False
bororo,,242,brr,bor,{},-16.0,-57.0,South America,,Bororo,2247,False,False
maca,,249,mca,mca,{},-25.0,-57.5,South America,,Maca,155,False,False
rikbaktsa,,244,rik,rkb,{},-11.8333333333,-57.5,South America,,Rikbaktsa,1005,False,False
guana,,248,gna,gva,{},-22.0,-58.0,South America,,Guana,322,False,False
berbicedutchcreole,,331,bdc,brc,{},5.33333333333,-58.0,South America,,Berbice Dutch Creole,782,False,False
munduruku,,459,muu,myu,{},-7.0,-58.0,South America,,Mundurukú,1192,False,False
guato,,241,gto,gta,{},-17.0,-58.0,South America,,Guató,1234,False,False
iranxe,,529,irx,irn,{},-13.0,-58.0,South America,,Iranxe,1683,False,False
lengua,,248,lng,leg,{},-22.5,-59.0,South America,,Lengua,932,False,False
waiwai,,119,wai,waw,{},1.0,-59.0,South America,,Wai Wai,1284,False,False
toba,,543,tob,tob,{},-26.5,-59.0,South America,,Toba,1626,False,False
hixkaryana,,119,hix,hix,{},-1.0,-59.0,South America,,Hixkaryana,2520,True,True
ayoreo,,508,ayr,ayo,{},-20.25,-59.25,South America,,Ayoreo,1017,False,False
akawaio,,119,akw,ake,{},6.0,-59.5,South America,,Akawaio,1291,False,False
nambikuara,,270,nmb,nab,{},-14.0,-59.5,South America,,Nambikuára (Southern),2229,False,False
chiquitano,,133,cqt,cax,{},-17.5,-60.0,South America,,Chiquitano,1222,False,False
wapishana,,551,wps,wap,{},2.66666666667,-60.0,South America,,Wapishana,1286,False,False
pilaga,,543,pga,plg,{},-25.0,-60.0,South America,,Pilagá,1813,False,False
macushi,,119,mac,mbc,{},4.0,-60.0,South America,,Macushi,2337,False,False
